TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-05-28 15:06:55,1779980815612,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,xpw4w-1779980815612-2da1f348ba6b,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,middleware,agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,8,sin1,261,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZK85RB7CNAWH4HYVNBFK,7yYW3ka0FLV2,1,,
2026-05-28 15:06:55,1779980815612,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,xpw4w-1779980815612-2da1f348ba6b,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/chat/[id],agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,21,iad1,357,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZKCE1QXJYW1HN1FZ3ZZX,XIZabRsRqhYo,1,,
2026-05-28 15:06:50,1779980810610,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,wwjvt-1779980810610-a904bab028fa,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,middleware,agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,8,sin1,260,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZEC29N4BQ8128A0CVQ23,7yYW3ka0FLV2,1,,
2026-05-28 15:06:50,1779980810610,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,wwjvt-1779980810610-a904bab028fa,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/chat/[id],agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,22,iad1,357,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZEG24HD2D9SN8TF4FWJV,XIZabRsRqhYo,1,,
2026-05-28 15:06:45,1779980805606,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,h4lzl-1779980805606-d629a44bc5f6,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/chat/[id],agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,27,iad1,357,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZ9KM0PSSHCTBQCGD72QC,XIZabRsRqhYo,1,,
2026-05-28 15:06:45,1779980805606,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,h4lzl-1779980805606-d629a44bc5f6,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,middleware,agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,8,sin1,260,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZ9FFBDW2F7VRKYFTYWWB,7yYW3ka0FLV2,1,,
2026-05-28 15:06:40,1779980800609,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,5c2hv-1779980800609-a526ed7e9a8f,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,middleware,agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,8,sin1,260,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZ4K7Y3XZW45A9RPDDT93,7yYW3ka0FLV2,1,,
2026-05-28 15:06:40,1779980800609,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,5c2hv-1779980800609-a526ed7e9a8f,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/chat/[id],agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,23,iad1,357,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHZ4Q6FBRNWSMKCKX2E6BH,XIZabRsRqhYo,1,,
2026-05-28 15:06:35,1779980795617,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,rzkgz-1779980795617-883f5988383c,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/chat/[id],agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,13,iad1,356,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHYZV7B9AGGM2X3PGVNA6M,XIZabRsRqhYo,1,,
2026-05-28 15:06:35,1779980795617,agentboster.vercel.app/chat/261f0be2-df09-41fa-adbe-5a474eda775a,POST,nxtPid=261f0be2-df09-41fa-adbe-5a474eda775a,200,rzkgz-1779980795617-883f5988383c,"Mozilla/5.0 (Linux; Android 14; PJX110 Build/UKQ1.231108.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,middleware,agentboster.vercel.app,agentboster-ojgn6sd06-sekaimoes-projects.vercel.app,dpl_DL8bR2kVC1qgP6eCv4C7oNf3cEMK,8,sin1,260,2048,,prj_tdXxtSqJCHN7blfXuR7HAEso1qIL,,,01KSQHYZQ5024EJ5ACGBWJ2FSM,7yYW3ka0FLV2,1,,
